Order Date,Order ID,Payment Instrument Type,Website,Shipment Date,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged
06/18/15,108-3841027-2617802,Visa - 9780,Amazon.com,06/22/15,MA,01970-1252,Shipped,USPS(9361289878908420740618),$82.78,$0.00,$5.17,$0.00,$5.17,$87.95
06/18/15,108-3841027-2617802,Visa - 9780,Amazon.com,06/29/15,MA,01970-1252,Shipped,SMARTPOST(9274892700352519010538),$119.00,$0.00,$7.44,$0.00,$7.44,$126.44
06/30/15,105-0700619-3333004,Visa - 9780,Amazon.com,07/02/15,MA,01970-1252,Shipped,USPS(9361289878908422434157),$42.71,$0.00,$0.67,$0.00,$0.67,$43.38
07/15/15,107-2131669-2241022,Visa - 9780,Amazon.com,07/16/15,MA,01970-1252,Shipped,USPS(9361289878908424761787),$26.99,$0.00,$0.00,$0.00,$0.00,$26.99
08/20/15,108-2662705-7789818,Visa - 9780,Amazon.com,08/20/15,CA,90007-2338,Shipped,ONTRAC(C11228969840275),$161.84,$30.93,$8.91,$30.93,$8.91,$170.75
08/20/15,108-5524378-8253810,Visa - 9780,Amazon.com,08/21/15,CA,90007-2338,Shipped,UPS(1Z75A87E0395893128),$16.49,$0.00,$1.48,$0.00,$1.48,$17.97
08/20/15,108-8778583-8574627,Visa - 9780,Amazon.com,08/22/15,CA,90007-2338,Shipped,UPS(1Z1739950337959148),$28.46,$0.00,$2.57,$0.00,$2.57,$31.03
08/20/15,108-8778583-8574627,Visa - 9780,Amazon.com,08/21/15,CA,90007-2338,Shipped,AMZN_US(TBA002662865142),$9.79,$0.00,$0.00,$0.00,$0.00,$9.79
08/21/15,108-6724415-8816201,Visa - 9780,Amazon.com,08/22/15,CA,90007-2338,Shipped,ONTRAC(C11229541761673),$57.99,$5.99,$0.00,$5.99,$0.00,$57.99
08/25/15,108-5935165-4743440,Visa - 9780,Amazon.com,08/25/15,CA,90007-2338,Shipped,ONTRAC(C11229457958827),$50.70,$8.98,$1.17,$8.98,$1.17,$51.87
08/25/15,108-9295185-4255410,Visa - 9780,Amazon.com,08/28/15,CA,90007-2338,Shipped,FedEx(589599186167130),$24.76,$0.00,$2.23,$0.00,$2.23,$26.99
09/24/15,108-5307532-6200263,Visa - 9780,Amazon.com,09/24/15,CA,90007-2338,Shipped,USPS(9361289949166134905434),$21.64,$0.00,$1.37,$0.00,$1.37,$23.01
09/24/15,108-5307532-6200263,Visa - 9780,Amazon.com,09/26/15,CA,90007-2338,Shipped,UPS(1ZE1260F1305930280),$39.99,$0.00,$3.60,$0.00,$3.60,$43.59
10/09/15,002-2671983-2840257,Visa - 9780,Amazon.com,10/09/15,CA,90007-2338,Shipped,ONTRAC(C11229547513911),$49.97,$5.99,$4.50,$5.99,$4.50,$54.47
10/09/15,002-8215348-7085044,Visa - 9780,Amazon.com,10/09/15,CA,90007-2338,Shipped,USPS(9361289949166135913612),$24.99,$0.00,$0.00,$0.00,$0.00,$24.99
10/27/15,106-5512210-9837010,Visa - 7632,Amazon.com,10/28/15,CA,90007-2338,Shipped,ONTRAC(C11229468365607),$16.04,$5.99,$1.98,$0.00,$1.98,$24.01
10/27/15,106-0817322-7840213,Visa - 7632,Amazon.com,10/28/15,CA,90007-2338,Shipped,ONTRAC(C11229468387263),$10.44,$0.00,$0.94,$0.00,$0.94,$11.38
12/12/15,002-2304815-2167434,Visa - 7632,Amazon.com,12/12/15,CA,90007-2338,Shipped,USPS(9374889949158141419444),$19.99,$0.00,$0.00,$0.00,$0.00,$19.99
02/02/16,113-4392102-7373056,Visa - 9780,Amazon.com,02/04/16,CA,90007-2338,Shipped,USPS(9361289949137174072042),$84.15,$0.00,$7.57,$0.00,$7.57,$91.72
